PRIMARY_KEY,WORKING_HOURS,EMPLOYER_CATEGORY,WAGES,JOB_DESCRIPTION,JOB_CATEGORY,CONTRACT_TYPE,JOB_DEP,Job_condition,activity_sector,Employee_count
11024,2135,"ct_9",32261,"462b","O","CDI","35","C","NZ","tr_5"
11045,1820,"ct_1",48327,"341a","O","AUT","14","C","PZ","tr_5"
11048,1973,"ct_9",19730,"676c","O","CDI","14","C","GZ","tr_3"
11049,1456,"ct_9",22275,"433a","O","CDI","14","P","QA","tr_4"
11054,943,"ct_9",10106,"542a","O","CDD","14","C","NZ","tr_1"
11057,1770,"ct_9",16477,"676e","O","CDI","14","C","CH","tr_3"
11064,1079,"ct_9",11390,"551a","O","CDI","14","P","GZ","tr_5"
11065,2006,"ct_9",19639,"643a","O","CDI","14","C","HZ","tr_1"
11078,666,"ct_9",9416,"472a","O","CDI","94","C","MA","tr_2"
11081,1725,"ct_6",17328,"554a","O","CDI","14","C","CA","tr_2"
11082,136,NA,1748,"643a","O","CDI","14","C","MC",NA
11085,341,"ct_8",22828,"461d","O","CDI","14","C","MA","tr_3"
11086,795,"ct_9",10352,"561f","O","CDI","54","N","HZ","tr_5"
11105,1820,"ct_2",19897,"421b","O","AUT","14","C","PZ","tr_2"
11107,1613,"ct_8",14995,"525b","O","CDI","14","C","PZ","tr_2"
11109,1722,"ct_9",22117,"621c","O","CDI","14","C","FZ","tr_5"
11117,1137,"ct_9",14798,"561d","O","CDI","14","C","IZ","tr_0"
11121,1614,"ct_9",17202,"423b","O","CDI","14","C","PZ","tr_3"
11127,1817,"ct_3",27339,"526a","O","AUT","14","C","QA","tr_6"
11138,1804,"ct_9",29429,"431f","O","CDI","14","P","QA","tr_6"
11147,351,"ct_9",2088,"672a","O","CDD","78","C","JC","tr_6"
11148,1820,"ct_9",20344,"637d","O","CDI","14","C","FZ","tr_2"
11153,2115,"ct_9",22346,"676a","O","CDI","14","C","CH","tr_2"
11156,1736,"ct_9",20588,"472c","O","CDI","14","C","FZ","tr_5"
11159,1568,"ct_9",22076,"626a","O","CDI","14","C","CL","tr_6"
11162,1017,"ct_9",10541,"541d","O","CDI","14","P","NZ","tr_6"
11172,1855,"ct_9",34192,"628c","O","CDI","14","C","CL","tr_6"
11174,1921,"ct_9",24855,"674d","O","CDI","14","C","CJ","tr_4"
11175,2117,"ct_9",21846,"641a","O","CDI","50","C","HZ","tr_4"
11182,1871,"ct_9",17698,"476a","O","CDI","14","C","JA","tr_1"
11192,1762,"ct_9",26778,"384a","O","CDI","14","C","CM","tr_2"
11197,1708,"ct_9",31078,"673c","O","CDI","14","C","CL","tr_6"
11198,1813,"ct_8",19273,"434b","O","CDI","14","C","QB","tr_4"
11204,1866,"ct_9",46481,"385c","O","CDI","92","C","GZ","tr_5"
11211,1820,"ct_8",30334,"421b","O","CDI","14","C","PZ","tr_1"
11213,1711,"ct_8",14889,"434d","X","CDI","14","P","QB","tr_5"
11219,1456,"ct_8",50109,"344a","O","CDI","14","P","QA","tr_4"
11229,1800,"ct_9",25150,"625d","O","CDI","61","C","CA","tr_6"
11233,1863,"ct_9",17832,"676e","O","CDI","14","C","CA","tr_6"
11237,1954,"ct_9",28150,"472a","O","CDI","14","C","MA","tr_2"
11239,2037,"ct_9",28133,"641a","O","CDI","14","C","HZ","tr_5"
11244,657,"ct_9",3661,"625h","A","APP","14","C","DZ","tr_4"
11250,323,"ct_8",14123,"434a","O","CDI","76","C","QB","tr_4"
11252,1666,"ct_9",39609,"342g","O","CDI","22","C","CA","tr_6"
11254,347,"ct_9",3984,"673c","O","CDI","14","P","MA","tr_1"
11256,1610,"ct_9",24749,"461b","O","CDI","14","C","MA","tr_4"
11263,835,"ct_9",8729,"561c","O","CDI","14","P","IZ","tr_1"
11271,1820,"ct_9",5619,"682a","A","APP","14","C","GZ","tr_1"
11279,2064,"ct_5",64775,"342g","O","CDI","14","C","MB","tr_5"
11294,362,"ct_6",3983,"561c","O","CDI","61","P","IZ","tr_0"
11297,1411,"ct_9",27561,"472a","O","CDI","14","C","MA","tr_1"
11309,1820,"ct_4",51391,"344b","O","CDI","14","C","OZ","tr_4"
11315,356,"ct_9",7314,"534a","O","CDI","14","P","GZ","tr_5"
11320,1837,"ct_9",21478,"551a","O","CDI","14","C","GZ","tr_5"
11328,888,"ct_7",2154,"563a","O","CDI","14","N","QB","tr_1"
11336,1983,"ct_9",26924,"477c","O","CDI","14","C","CM","tr_2"
11337,182,"ct_9",1924,"561b","O","CDI","14","C","IZ","tr_1"
11338,1132,NA,13509,"563c","O","CDI","14","P","TZ",NA
11340,1820,"ct_8",16973,"543h","O","CDI","14","C","QA","tr_6"
11348,1950,"ct_9",30306,"487a","O","CDI","27","P","GZ","tr_1"
11349,536,"ct_2",7082,"524c","O","CDD","14","P","OZ","tr_5"
11368,1820,"ct_8",20910,"434f","O","CDI","14","C","QB","tr_5"
11378,1800,"ct_1",22150,"524a","O","CDD","49","C","OZ","tr_6"
11380,1578,"ct_9",13430,"526c","O","CDI","14","C","QB","tr_1"
11382,936,"ct_9",10803,"423b","O","CDI","06","C","MA","tr_1"
11384,1984,"ct_9",23734,"673c","O","CDI","14","C","CL","tr_6"
11386,1513,"ct_9",31896,"461c","O","CDI","14","C","DZ","tr_3"
11387,1513,"ct_9",20012,"652a","O","CDI","14","C","CF","tr_6"
11391,1374,"ct_9",9001,"625f","O","CDI","14","C","CM","tr_3"
11393,835,"ct_9",5234,"554e","A","APP","14","C","GZ","tr_1"
11395,1456,"ct_5",13504,"541b","O","AUT","14","P","LZ","tr_5"
11403,1606,"ct_9",20368,"641a","O","CDI","14","C","HZ","tr_5"
11407,1832,"ct_9",24140,"485a","O","CDI","76","C","DZ","tr_6"
11415,1373,"ct_9",12119,"543f","O","CDI","14","C","GZ","tr_1"
11432,1484,"ct_9",16097,"621d","O","CDI","14","C","FZ","tr_4"
11435,1438,"ct_9",19122,"624c","O","CDI","14","C","CK","tr_4"
11437,1992,"ct_8",27473,"543g","O","CDI","14","C","PZ","tr_5"
11442,915,"ct_9",8196,"478a","O","CDI","28","C","JC","tr_1"
11447,1618,"ct_9",19285,"632d","O","CDI","50","C","FZ","tr_3"
11451,1568,"ct_9",37650,"385c","O","CDI","31","C","GZ","tr_4"
11457,1416,"ct_9",15517,"374a","O","CDI","14","C","GZ","tr_1"
11458,432,"ct_6",2197,"692a","O","CDI","76","C","AZ","tr_0"
11460,1582,"ct_9",28211,"461e","O","CDI","15","C","MA","tr_3"
11471,1797,"ct_9",28523,"632d","O","CDI","15","C","FZ","tr_1"
11472,1664,"ct_9",19714,"433d","O","CDI","15","P","GZ","tr_1"
11479,1612,"ct_8",14464,"526d","O","CDI","15","C","QB","tr_3"
11480,1709,"ct_9",18857,"681b","O","CDI","15","C","FZ","tr_1"
11482,1559,"ct_9",24458,"481b","O","CDI","12","C","FZ","tr_5"
11494,1596,"ct_9",20285,"461f","O","CDI","15","C","CM","tr_5"
11498,1878,"ct_9",48369,"344d","O","CDI","15","C","GZ","tr_1"
11501,700,"ct_8",11731,"526a","O","CDI","15","P","QB","tr_2"
11526,1797,"ct_9",29472,"632d","O","CDI","15","C","FZ","tr_1"
11530,1729,"ct_9",19873,"542a","O","CDI","15","C","MA","tr_1"
11531,505,"ct_6",5815,"561c","O","TOA","15","C","IZ","tr_1"
11550,1820,"ct_9",14131,"554b","O","CDI","15","C","GZ","tr_1"
11551,1060,"ct_9",9699,"682a","O","CDI","15","C","GZ","tr_2"
11552,2077,"ct_9",39230,"486d","O","CDI","15","C","GZ","tr_2"
11572,1997,"ct_9",18419,"551a","O","CDI","15","C","GZ","tr_3"
11592,1080,"ct_2",8333,"524c","X","AUT","15","P","OZ","tr_5"
11595,971,"ct_9",9637,"423a","O","CDI","15","P","PZ","tr_1"
11605,1827,"ct_9",27016,"627f","O","CDI","15","C","CH","tr_3"
11623,1039,"ct_8",13877,"543b","O","CDI","15","P","RZ","tr_1"
11624,1520,"ct_9",23207,"621c","O","CDI","15","C","FZ","tr_5"
11627,1565,"ct_9",17294,"623a","O","CDI","46","C","CM","tr_2"
11629,1767,"ct_9",30008,"385b","O","CDI","15","C","CG","tr_6"
11636,1819,"ct_3",45554,"431d","O","CDI","19","C","QA","tr_6"
11637,1748,"ct_9",33248,"641a","O","CDI","15","C","FZ","tr_4"
11642,1725,"ct_3",17069,"523d","O","CDD","15","C","QA","tr_6"
11647,2200,"ct_9",29506,"643a","O","CDI","15","C","CA","tr_3"
11650,1293,"ct_9",21255,"542a","O","CDI","15","C","MA","tr_1"
11651,313,"ct_9",3903,"652a","O","TOA","15","C","CA","tr_3"
11673,1771,"ct_8",25692,"545c","O","CDI","17","C","KZ","tr_3"
11689,1665,"ct_9",21225,"637d","O","CDI","86","C","CH","tr_2"
11719,1884,"ct_9",49660,"484a","O","CDI","16","C","CA","tr_6"
11724,844,"ct_3",10821,"431f","O","AUT","16","C","QA","tr_6"
11730,1483,"ct_9",18235,"433d","O","CDI","16","C","GZ","tr_1"
11734,1992,"ct_4",27127,"461f","O","CDI","16","C","SZ","tr_5"
11747,1944,"ct_9",33958,"543b","O","CDI","16","C","GZ","tr_3"
11775,1894,"ct_9",26785,"462a","O","CDI","16","C","SZ","tr_1"
11779,157,"ct_9",3308,"627d","O","CDI","16","C","CC","tr_2"
11790,984,"ct_7",3415,"563a","O","CDI","16","N","QB","tr_1"
11794,135,"ct_8",2485,"525d","O","CDI","16","P","QB","tr_2"
11801,1841,"ct_9",46778,"462c","O","CDI","16","C","CA","tr_5"
11806,1408,"ct_2",15147,"563b","O","CDD","17","P","QB","tr_4"
11812,1449,"ct_9",23245,"554f","O","CDI","16","C","GZ","tr_1"
11814,869,"ct_6",15613,"682a","O","CDI","17","P","HZ","tr_1"
11821,1820,"ct_8",19411,"525d","O","CDI","16","C","QA","tr_5"
11836,1820,"ct_9",56013,"387d","O","CDI","16","C","CA","tr_4"
11840,1306,"ct_9",7268,"561d","A","APP","16","C","IZ","tr_1"
11846,1977,"ct_9",23713,"676a","O","CDI","16","C","GZ","tr_6"
11853,1703,"ct_9",23229,"451h","O","CDI","16","C","QA","tr_3"
11876,585,"ct_8",6228,"563b","O","CDI","17","P","QB","tr_3"
11877,1820,"ct_8",21548,"421b","O","CDI","16","C","PZ","tr_2"
11880,393,"ct_9",3210,"636d","O","TOA","24","C","IZ","tr_1"
11885,1609,"ct_9",17315,"525d","O","CDI","16","C","QB","tr_4"
11891,1847,"ct_9",18870,"554c","O","CDI","16","C","GZ","tr_1"
11893,1838,"ct_9",12512,"631a","A","TOA","16","C","NZ","tr_2"
11899,1820,"ct_9",54364,"373b","O","CDI","16","C","CA","tr_6"
11921,1644,"ct_9",48310,"373d","O","CDI","92","C","GZ","tr_1"
11923,1830,"ct_9",20485,"521a","O","CDI","16","C","HZ","tr_5"
11934,1916,"ct_9",49807,"626a","O","CDI","16","C","CG","tr_6"
11940,830,"ct_3",7349,"525d","O","CDI","16","P","QA","tr_6"
11944,1771,"ct_9",41215,"464a","O","CDI","17","C","GZ","tr_3"
11946,1701,"ct_9",21830,"477b","O","CDI","16","C","CG","tr_6"
11947,607,"ct_9",6733,"632a","O","CDI","16","C","FZ","tr_1"
11956,1495,"ct_9",14948,"634b","O","CDI","16","C","CH","tr_5"
11962,1809,"ct_6",17352,"543h","O","CDI","16","C","QA","tr_1"
11968,1881,"ct_9",23071,"627f","O","CDI","16","C","CC","tr_5"
11971,1614,"ct_8",20235,"462a","O","CDI","16","C","NZ","tr_2"
11982,1305,"ct_3",16424,"526a","O","AUT","16","P","QA","tr_6"
11993,1739,"ct_6",14394,"563c","O","CDI","16","P","NZ","tr_0"
11994,1249,"ct_9",15517,"462e","O","CDI","87","C","SZ","tr_1"
11998,1398,"ct_9",13267,"634c","O","CDI","16","C","GZ","tr_1"
12001,1825,"ct_4",24231,"524c","O","CDI","16","C","PZ","tr_3"
12005,1731,"ct_9",21862,"526a","O","CDI","16","C","QA","tr_3"
12011,1763,"ct_9",17572,"676e","O","CDI","16","C","CC","tr_3"
12013,1819,"ct_3",25389,"431f","O","AUT","16","C","QA","tr_6"
12024,1580,"ct_9",22547,"461f","O","CDI","16","C","CA","tr_2"
12031,1790,"ct_9",20747,"526d","O","CDI","16","C","QB","tr_4"
12032,1842,"ct_9",18328,"525d","O","CDI","16","C","QB","tr_4"
12045,244,"ct_6",2094,"534a","O","CDI","16","C","NZ","tr_1"
12060,2028,"ct_9",30980,"554c","O","CDI","17","C","GZ","tr_3"
12068,2108,"ct_7",16093,"563c","O","CDI","16","N","TZ","tr_1"
12078,1820,"ct_4",19228,"524c","O","CDI","16","C","SZ","tr_4"
12102,1588,"ct_9",12702,"626b","O","CDI","16","C","CG","tr_4"
12108,1816,"ct_3",25643,"344c","O","AUT","86","C","QA","tr_6"
12111,1293,"ct_9",10246,"554a","O","CDI","16","P","GZ","tr_1"
12119,152,NA,1805,"691b","O","CDI","16","C","AZ",NA
12123,1820,"ct_9",36591,"461f","O","CDI","16","C","CA","tr_5"
12126,1713,"ct_9",16525,"676a","O","CDI","16","C","CC","tr_3"
12137,1799,"ct_9",21777,"624c","O","CDI","16","C","CJ","tr_5"
12141,1573,"ct_9",20491,"633a","O","CDI","16","C","FZ","tr_3"
12142,1168,"ct_8",10777,"525d","O","CDI","16","C","QB","tr_3"
12143,2028,"ct_6",21150,"542a","O","CDI","16","C","QA","tr_1"
12147,1417,"ct_8",23408,"563b","O","CDI","16","P","QB","tr_3"
12153,1608,"ct_9",21458,"486d","O","CDI","16","C","GZ","tr_3"
12154,1277,"ct_9",26164,"386c","O","CDI","16","C","CG","tr_4"
12157,1965,"ct_8",16236,"525d","O","CDI","16","C","QB","tr_3"
12164,1799,"ct_9",51533,"387e","O","CDI","86","C","HZ","tr_4"
12169,1781,"ct_9",21614,"623f","O","CDI","16","C","CJ","tr_6"
12172,1834,"ct_6",19197,"525d","O","CDI","16","C","QB","tr_1"
12177,1775,"ct_8",27367,"433a","O","CDI","16","P","QA","tr_3"
12185,908,"ct_8",13398,"422c","O","CDI","16","P","PZ","tr_2"
12187,2031,"ct_8",33900,"467c","O","CDI","16","C","KZ","tr_1"
12193,2742,"ct_8",31635,"434b","O","AUT","16","C","QB","tr_4"
12199,1314,"ct_8",12621,"424a","O","CDI","16","P","RZ","tr_1"
12202,2028,"ct_9",35382,"461f","O","CDI","16","C","CA","tr_4"
12204,676,"ct_8",6320,"526a","O","CDI","16","P","QB","tr_4"
12208,1628,"ct_9",22782,"462b","O","CDI","16","C","GZ","tr_1"
12211,1464,"ct_6",14904,"525d","O","CDI","16","P","QB","tr_1"
12218,1245,"ct_9",10517,"562b","O","CDI","16","P","SZ","tr_1"
12225,1981,"ct_9",21855,"643a","O","CDI","17","C","HZ","tr_3"
12228,3000,"ct_7",24101,"563a","O","CDI","17","N","QB","tr_1"
12237,1233,"ct_9",10550,"554e","O","CDI","16","P","GZ","tr_1"
12239,607,"ct_9",9004,"467a","O","CDI","75","C","KZ","tr_2"
12246,1820,"ct_9",54530,"463c","O","CDI","92","C","GZ","tr_6"
12251,519,"ct_9",10864,"624b","O","TTP","17","C","NZ","tr_0"
12259,1674,"ct_9",19880,"534a","O","CDD","17","C","NZ","tr_4"
12260,1825,"ct_9",15558,"463e","O","CDI","17","C","LZ","tr_1"
12264,1902,"ct_8",22226,"526a","O","CDI","17","C","QB","tr_4"
12272,1650,"ct_9",19798,"633a","O","CDI","17","C","FZ","tr_1"
12273,1793,"ct_9",26551,"481b","O","CDI","17","C","FZ","tr_3"
12275,1680,"ct_9",22433,"675c","O","CDI","16","C","CC","tr_3"
12284,1396,"ct_9",16131,"541b","O","CDI","17","C","IZ","tr_1"
12292,1073,"ct_9",10605,"561c","O","CDI","17","C","IZ","tr_1"
12308,2200,"ct_8",34939,"564a","O","CDI","17","C","NZ","tr_1"
12309,1768,"ct_9",22669,"632f","O","CDI","17","C","FZ","tr_1"
12313,1598,"ct_9",17139,"632f","O","CDI","17","C","CL","tr_4"
12320,468,"ct_9",5789,"554e","O","CDI","17","C","GZ","tr_1"
12322,1791,"ct_9",16107,"674c","O","CDI","17","C","CA","tr_5"
12328,1539,"ct_9",17949,"624e","O","CDI","17","C","CL","tr_5"
12329,1820,"ct_9",50348,"376c","O","CDI","86","C","KZ","tr_3"
12330,1820,"ct_2",38872,"421b","O","AUT","17","C","PZ","tr_2"
12332,180,NA,2825,"563c","O","CDI","17","C","TZ",NA
12344,1871,"ct_4",22501,"342d","O","CDI","17","C","SZ","tr_6"
12345,152,NA,3124,"333f","O","CDI","91","C","OZ",NA
12348,1538,NA,16239,"563c","O","AUT","17","P","TZ",NA
12357,326,NA,2508,"621f","O","CDI","17","C","OZ",NA
12361,1255,"ct_8",16316,"465b","O","CDI","17","C","RZ","tr_2"
12367,702,"ct_8",10825,"435a","O","CDI","17","C","QB","tr_4"
12370,1806,"ct_9",53027,"467c","O","CDI","79","C","KZ","tr_6"
12379,1769,"ct_9",24520,"333c","O","CDI","17","C","HZ","tr_3"
12393,1820,"ct_9",41528,"462e","O","CDI","92","C","CA","tr_6"
12400,1643,"ct_9",18523,"543b","O","CDI","16","P","MA","tr_1"
12402,1332,"ct_9",8874,"681b","A","APP","17","C","FZ","tr_1"
12405,2031,"ct_9",27018,"623g","O","CDI","17","C","CH","tr_2"
12406,1796,"ct_9",52308,"373b","O","CDI","79","C","KZ","tr_6"
12417,1946,"ct_9",30340,"373c","O","CDI","17","C","MA","tr_2"
12420,1820,"ct_1",61236,"341b","O","AUT","17","C","PZ","tr_4"
12440,1820,"ct_9",26599,"622c","O","CDI","37","C","FZ","tr_5"
12442,1544,"ct_9",34703,"461d","O","CDI","17","P","CL","tr_6"
12448,1713,"ct_9",27381,"472c","O","CDI","17","C","FZ","tr_3"
12455,655,"ct_9",6409,"554f","O","CDD","17","P","GZ","tr_0"
12457,1298,"ct_9",12850,"526e","O","CDI","17","P","QA","tr_2"
12473,1820,"ct_8",24040,"431f","O","CDI","17","C","QB","tr_4"
12490,1820,"ct_9",23728,"554c","O","CDI","17","C","GZ","tr_1"
12495,1786,"ct_9",16966,"675c","O","CDI","17","C","CC","tr_1"
12496,690,"ct_9",7772,"653a","O","CDI","17","P","GZ","tr_1"
12503,1571,"ct_9",18994,"542a","O","CDI","17","P","CC","tr_1"
12508,1406,"ct_9",15860,"543b","O","CDI","17","P","MA","tr_2"
12510,1820,"ct_9",17957,"554a","O","CDI","17","C","CA","tr_1"
12511,1462,"ct_8",13162,"525a","O","CDI","17","P","PZ","tr_2"
12515,2119,"ct_8",36300,"652b","O","CDI","17","C","NZ","tr_5"
12516,1823,"ct_9",31520,"461c","O","CDI","17","C","FZ","tr_4"
12518,1571,"ct_6",17699,"526b","O","CDI","17","P","QA","tr_1"
12529,1270,"ct_9",10162,"561d","O","CDI","17","C","IZ","tr_1"
12535,2200,"ct_9",31714,"641a","O","CDI","17","C","HZ","tr_3"
12536,1377,"ct_9",29334,"376g","O","CDI","17","C","LZ","tr_3"
12551,1863,"ct_9",22224,"676a","O","CDI","16","C","HZ","tr_3"
12555,966,"ct_9",12020,"553c","O","CDD","17","P","GZ","tr_1"
12558,1519,"ct_9",14159,"673b","O","TTP","16","C","NZ","tr_1"
12562,275,"ct_6",1391,"433d","A","APP","17","C","GZ","tr_1"
12576,1596,"ct_9",19597,"542a","O","CDI","17","C","EZ","tr_2"
12584,1295,"ct_9",33218,"376g","O","CDI","17","C","LZ","tr_1"
12586,1915,"ct_9",24877,"625c","O","CDI","17","C","CK","tr_3"
12592,1820,"ct_2",26630,"523c","O","CDI","33","C","HZ","tr_4"
12599,1701,"ct_9",25627,"477b","O","CDI","17","C","FZ","tr_2"
12603,1938,"ct_9",20393,"636a","O","CDI","17","C","GZ","tr_3"
12613,1820,"ct_1",29160,"422a","O","CDD",NA,"C","PZ","tr_5"
12625,434,"ct_9",6794,"461b","O","CDI","17","C","PZ","tr_1"
12634,1732,"ct_9",31666,"384b","O","CDI","17","C","CL","tr_6"
12647,1568,"ct_9",15983,"542a","O","CDI","17","C","GZ","tr_2"
12648,1785,"ct_9",22189,"632a","O","CDI","17","C","FZ","tr_2"
12649,1158,"ct_9",21050,"373c","O","CDI","27","P","CA","tr_1"
12651,1820,"ct_9",21115,"632a","O","CDI","17","C","FZ","tr_1"
12655,458,"ct_9",14123,"621g","O","CDI","17","C","BZ","tr_1"
12656,668,"ct_9",4114,"685a","O","CDD","17","C","CM","tr_2"
12661,1887,"ct_8",23957,"376f","O","CDI","17","C","OZ","tr_6"
12666,1508,"ct_9",17060,"462e","O","CDI","17","C","GZ","tr_1"
12682,1820,"ct_8",18030,"526d","O","CDI","17","C","QB","tr_3"
12689,1820,"ct_3",21359,"525d","O","CDI","17","C","QB","tr_4"
12704,1765,"ct_9",27692,"433b","O","CDI","17","C","GZ","tr_1"
12705,3000,"ct_7",27455,"563a","O","CDI","17","N","QB","tr_1"
12714,1384,"ct_8",13867,"542a","O","CDI","17","P","MA","tr_1"
12723,1818,"ct_9",16435,"631a","O","CDI","17","C","NZ","tr_1"
12725,642,"ct_9",12922,"484a","O","CDI","75","C","NZ","tr_3"
12730,492,"ct_9",5791,"684a","O","CDI","17","P","NZ","tr_1"
12733,1820,"ct_8",32694,"341a","O","CDI","17","C","PZ","tr_5"
12736,1404,"ct_9",14096,"674a","O","CDI","17","C","CG","tr_3"
12753,1786,"ct_6",19398,"467c","O","CDI","17","P","KZ","tr_1"
12763,1820,"ct_8",21939,"543g","O","CDI","17","C","QB","tr_3"
12774,1616,"ct_9",23027,"463e","O","CDI","17","C","LZ","tr_4"
12781,1852,"ct_8",21087,"526a","O","CDI","17","C","QB","tr_4"
12797,2088,"ct_9",21201,"462b","O","CDI","17","C","GZ","tr_4"
12802,1820,"ct_8",38445,"341a","O","CDI","17","C","PZ","tr_4"
12805,1899,"ct_9",31928,"462c","O","CDI","17","C","NZ","tr_2"
12818,1820,"ct_9",25811,"541b","O","CDI","16","C","NZ","tr_1"
12830,610,"ct_8",9133,"424a","O","CDI","79","P","RZ","tr_1"
12833,1566,"ct_9",13782,"561c","O","CDI","17","P","IZ","tr_3"
12836,1826,"ct_9",28809,"543b","O","CDI","17","C","CA","tr_3"
12842,236,NA,2539,"676a","O","CDI","17","C","NZ","tr_1"
12858,542,"ct_9",20247,"462d","A","APP","47","C","GZ","tr_6"
12865,1055,"ct_9",14402,"462e","O","CDI","17","C","JC","tr_1"
12868,1820,"ct_8",25122,"422e","O","CDI","17","C","PZ","tr_5"
12888,1836,"ct_8",30716,"467d","O","CDI","17","C","OZ","tr_4"
12895,3000,"ct_7",21748,"563a","O","CDI","17","N","QB","tr_1"
12903,1820,"ct_9",21376,"545c","O","CDI","17","C","KZ","tr_5"
12919,1117,"ct_9",25314,"478b","O","CDI","17","C","MA","tr_5"
12930,1820,"ct_9",32394,"461b","O","CDI","17","C","EZ","tr_2"
12936,1820,"ct_6",25326,"545c","O","CDI","17","C","KZ","tr_1"
12938,1820,"ct_8",12507,"691e","O","CDI","17","P","NZ","tr_3"
12939,1840,"ct_8",34394,"431a","O","CDI","17","C","QA","tr_1"
12941,1396,"ct_9",12297,"554g","O","CDI","17","C","GZ","tr_1"
12943,1490,"ct_9",19338,"542a","O","CDI","17","C","MA","tr_1"
12951,2196,"ct_2",24063,"533a","O","AUT","17","P","OZ","tr_6"
12952,1934,"ct_9",20661,"542a","O","CDI","79","C","CH","tr_3"
12954,1050,"ct_9",17114,"561f","O","CDI","17","C","IZ","tr_1"
12961,1849,"ct_9",21841,"632g","O","CDI","17","C","FZ","tr_2"
12962,1680,"ct_9",28856,"481b","O","CDI","17","C","FZ","tr_5"
12965,1778,"ct_8",39967,"387e","O","CDI","17","C","SZ","tr_5"
12966,225,NA,2024,"333f","O","CDI","17","C","OZ",NA
12967,1820,"ct_1",29498,"342g","O","CDI","33","C","MB","tr_5"
12968,1708,"ct_5",21991,"523b","O","CDI","17","C","LZ","tr_5"
12969,1517,"ct_6",42000,"692a","O","CDI","17","C","AZ","tr_1"
12977,742,"ct_9",16509,"477c","O","CDI","85","C","CM","tr_3"
12987,1467,"ct_9",14726,"551a","O","CDI","17","P","GZ","tr_3"
12989,1841,"ct_9",21654,"451a","O","CDI","17","C","HZ","tr_5"
13009,862,"ct_9",7429,"554j","O","CDI","17","C","GZ","tr_0"
13016,1589,"ct_9",23396,"477b","O","CDI","17","C","CM","tr_3"
13024,1610,"ct_9",17486,"543g","O","CDI","17","C","LZ","tr_2"
13046,606,"ct_9",6735,"526d","O","CDI","17","C","QB","tr_4"
13053,616,"ct_8",6612,"563b","O","CDI","17","P","QB","tr_5"
13063,1040,"ct_9",17411,"461b","O","CDI","17","P","MA","tr_1"
13070,1868,"ct_3",34311,"431f","O","AUT","17","C","QA","tr_6"
13074,1711,"ct_9",28671,"628a","O","CDI","33","C","CM","tr_6"
13075,1820,"ct_9",52150,"371a","O","CDI","17","C","KZ","tr_6"
13078,1578,"ct_8",21827,"479b","O","CDI","17","C","PZ","tr_4"
13091,1693,"ct_9",24638,"624g","O","CDI","17","C","CL","tr_6"
13092,1820,"ct_8",16503,"525d","O","CDI","17","C","QA","tr_5"
13102,1264,"ct_9",7976,"561d","A","APP","17","C","IZ","tr_2"
13116,1771,"ct_9",29340,"478d","O","CDI","17","C","JB","tr_4"
13117,1416,"ct_9",11144,"671c","O","TTP","17","C","NZ","tr_0"
13120,1820,"ct_9",32409,"387e","O","CDI","17","C","EZ","tr_5"
13126,1351,"ct_9",20392,"674a","O","CDI","17","C","CG","tr_3"
13131,1771,"ct_2",24555,"451g","O","CDI","17","C","EZ","tr_6"
13133,1902,"ct_8",22218,"526a","O","CDI","17","C","QB","tr_4"
13134,1820,"ct_9",15469,"534a","O","CDI","33","C","NZ","tr_6"
13141,820,"ct_9",9341,"636d","O","CDI","17","C","IZ","tr_3"
13143,1220,"ct_6",6147,"562b","A","APP","17","C","SZ","tr_1"
13155,1286,"ct_9",28205,"433a","O","CDI","69","C","MB","tr_2"
13156,1820,"ct_9",57470,"543f","O","CDI","16","C","GZ","tr_3"
13162,1858,"ct_9",21600,"676a","O","CDI","17","C","NZ","tr_5"
13169,2036,"ct_8",22784,"525d","O","CDI","17","C","QB","tr_4"
13177,1810,"ct_9",33817,"462e","O","CDI","17","C","HZ","tr_4"
13179,1983,"ct_9",34555,"485b","O","CDI","17","C","CC","tr_5"
13189,1587,"ct_9",16279,"485a","O","CDI","17","C","EZ","tr_3"
13196,1551,"ct_8",14469,"422e","O","CDI","17","P","PZ","tr_4"
13203,1820,"ct_9",61482,"373b","O","CDI","17","N","GZ","tr_5"
13209,1007,"ct_9",8294,"553b","O","TTP","17","N","NZ","tr_1"
13212,1565,"ct_9",23971,"624f","O","CDI","17","C","CH","tr_4"
13220,1706,"ct_9",23188,"623e","O","CDI","17","C","CL","tr_6"
13225,1593,"ct_9",20191,"433b","O","CDI","17","C","GZ","tr_1"
13229,1580,"ct_9",19434,"674e","O","CDI","18","C","CC","tr_3"
13234,1603,"ct_9",22644,"626b","O","CDI","41","C","CM","tr_4"
13243,255,"ct_7",2871,"563b","O","CDI","18","N","QB","tr_0"
13266,1752,"ct_9",23191,"463d","O","CDI","18","C","NZ","tr_1"
13267,2115,"ct_9",29714,"462b","O","CDI","18","C","GZ","tr_0"
13268,1411,"ct_8",19895,"543g","O","CDI","18","P","QB","tr_5"
13280,1570,"ct_9",15189,"562b","O","CDI","18","C","SZ","tr_1"
13284,1434,"ct_9",19437,"473b","O","CDI","31","C","MA","tr_2"
13286,928,"ct_9",8841,"433b","O","CDI","18","C","GZ","tr_2"
13295,1820,"ct_9",24134,"556a","O","CDI","18","C","GZ","tr_1"
13311,2077,"ct_9",22408,"462b","O","CDI","18","C","GZ","tr_3"
