PRIMARY_KEY,activity_sector,Former_dep,JOB_DEP,JOB_DESCRIPTION,CONTRACT_TYPE,JOB_CATEGORY,Job_condition,EMPLOYER_CATEGORY,WORKING_HOURS,Employee_count
18316,"FZ","34","34","632a","CDI","O","C","ct_6",1689,"tr_1"
18325,"QB",NA,NA,"526a","CDI","O","C","ct_8",1470,"tr_4"
18326,"CK","38","54","474c","CDI","O","C","ct_9",1851,"tr_6"
18327,"NZ","29","29","534a","CDI","O","C","ct_9",1403,"tr_5"
18331,"HZ","06","06","521a","AUT","O","C","ct_9",1820,"tr_5"
18332,"QA","78","78","431f","CDI","O","C","ct_8",1803,"tr_6"
18342,"TZ","16","16","563c","CDD","O","C",NA,888,NA
18353,"LZ","72","72","376g","CDI","O","C","ct_9",1791,"tr_1"
18355,"OZ","43","43","461f","CDI","O","C","ct_1",1830,"tr_4"
18358,"SZ","67","67","464b","CDI","O","P","ct_8",1244,"tr_4"
18361,"NZ","35","35","691b","CDI","O","N","ct_8",780,"tr_2"
18364,"QA","74","74","526b","CDI","O","C","ct_8",1559,"tr_1"
18368,"MA","94","75","478b","CDI","O","C","ct_9",1820,"tr_5"
18369,"NZ","22","22","684a","CDI","O","P","ct_9",889,"tr_5"
18370,"NZ","41","41","542a","TTP","O","C","ct_9",961,"tr_1"
18385,"CE","62","62","461f","CDI","O","C","ct_9",1820,"tr_5"
18399,"QB","60","60","563a","CDI","O","N","ct_7",3000,"tr_1"
18400,"NZ",NA,"44","674c","CDI","O","C",NA,123,"tr_5"
18402,"OZ","69","69","524b","CDI","O","P","ct_1",1343,"tr_6"
18412,"GZ","61","61","552a","CDI","O","P","ct_9",652,"tr_5"
18431,"MA","12","12","461d","CDI","O","C","ct_8",1820,"tr_3"
18434,"QA","59","59","451h","CDI","O","C","ct_3",1824,"tr_6"
18461,"MA","69","69","543e","CDI","O","P","ct_9",2333,"tr_4"
18477,"GZ","89","89","542a","CDI","O","C","ct_9",1820,"tr_1"
18487,"FZ","62","62","632a","CDI","O","C","ct_9",1512,"tr_5"
18509,"QB","68","68","676e","AUT","X","P","ct_8",979,"tr_5"
18515,"GZ","59","59","675a","CDI","O","C","ct_9",1536,"tr_3"
18527,"QB","57","57","526a","CDI","O","C","ct_8",173,"tr_4"
18545,"NZ","82","82","684a","CDI","O","C","ct_9",1820,"tr_0"
18549,"QA","30","30","525d","CDI","O","P","ct_9",753,"tr_5"
18553,"FZ","75","75","633a","CDD","O","C","ct_9",795,"tr_1"
18555,"QA","34","34","525d","CDI","O","P","ct_9",1587,"tr_4"
18577,"QB","57","57","526a","CDI","O","C","ct_8",173,"tr_4"
18584,"FZ","22","22","681a","CDI","O","C","ct_9",1764,"tr_2"
18585,"OZ","92","75","524b","CDI","O","C","ct_1",1820,"tr_6"
18593,"HZ","05","05","451a","CDI","O","P","ct_9",1153,"tr_3"
18597,"GZ",NA,NA,"634a","CDI","O","C","ct_9",1820,"tr_1"
18603,"CA","67","67","674c","CDI","O","C","ct_9",1461,"tr_5"
18606,"HZ","71","01","641b","CDI","O","N","ct_9",736,"tr_4"
18609,"CH","44","44","626b","CDI","O","C","ct_9",667,"tr_5"
18612,"CB","42","42","675a","CDI","O","C","ct_9",1764,"tr_3"
18619,"RZ","73","73","423a","CDI","O","P",NA,138,NA
18621,"CM","91","91","622a","CDI","O","C","ct_9",1894,"tr_4"
18625,"CG","18","18","477b","CDI","O","C","ct_9",1587,"tr_6"
18637,"GZ","78","78","543b","CDI","O","P","ct_9",330,"tr_2"
18638,"MA","35","35","691b","CDI","O","C","ct_9",1820,"tr_1"
18643,"NZ","03","03","684a","CDI","O","P","ct_9",1001,"tr_5"
18647,"NZ","49","49","632k","CDI","O","C",NA,262,"tr_1"
18651,"PZ","78","92","341a","CDI","O","P","ct_8",716,"tr_3"
18655,"CB","81","81","675a","CDI","O","C","ct_9",596,"tr_1"
18658,"GZ","76","76","684a","CDI","O","P","ct_9",1138,"tr_1"
18660,"CJ","07","38","473b","CDI","O","C","ct_9",1918,"tr_6"
18678,"CA","12","12","674c","CDI","O","C","ct_9",1820,"tr_4"
18691,"CM","58","58","676e","CDI","O","C","ct_9",1375,"tr_5"
18701,"QA","75","75","451h","CDI","O","P","ct_8",764,"tr_6"
18714,"OZ","93","93","422e","CDD","O","P","ct_1",1203,"tr_6"
18715,"GZ","60","77","462c","CDI","O","C","ct_9",1834,"tr_5"
18716,"OZ","63","63","524b","CDI","O","C","ct_1",1820,"tr_4"
18724,"QA","84","84","526a","CDI","O","C","ct_8",1581,"tr_6"
18725,"QB","51","51","563b","CDI","O","P","ct_8",1110,"tr_3"
18741,"GZ","84","84","676c","CDI","O","C","ct_9",1857,"tr_4"
18753,"HZ","38","38","641a","CDI","O","C","ct_9",1736,"tr_3"
18761,"SZ","76","92","432d","CDI","O","P","ct_9",857,"tr_6"
18763,"GZ","30","30","543b","CDI","O","C","ct_9",1680,"tr_1"
18765,"GZ","80","80","636a","CDI","O","C","ct_9",497,"tr_4"
18766,"MA","93","75","543h","CDI","O","P","ct_9",671,"tr_3"
18767,"CL","30","13","474c","CDI","O","P","ct_9",1733,"tr_6"
18768,"PZ","57","57","421b","AUT","O","C","ct_2",1213,"tr_1"
18781,"QA","01","01","525d","AUT","O","P","ct_3",1750,"tr_6"
18787,"JA","35","29","352a","CDI","O","N","ct_9",340,"tr_1"
18789,"NZ","67","67","681b","CDI","O","C","ct_9",1524,"tr_1"
18800,"MB","91","91","342f","CDI","O","C","ct_8",1820,"tr_5"
18828,"QB","05","05","435b","CDI","O","P","ct_8",1578,"tr_1"
18842,"HZ","59","62","641a","CDI","O","C","ct_9",2160,"tr_0"
18853,"MA","06","06","472a","CDI","O","C","ct_9",1820,"tr_1"
18860,"SZ","40","40","684a","CDD","O","C",NA,648,NA
18868,"MA","22","22","461d","CDI","O","P","ct_8",1550,"tr_6"
18871,"KZ","59","59","373b","CDI","O","C","ct_9",1828,"tr_4"
18872,"HZ","76","78","481a","CDI","O","C","ct_9",1860,"tr_4"
18881,"QB","25","25","563b","CDI","O","P","ct_8",1262,"tr_3"
18885,"OZ","86","86","524b","CDI","O","C",NA,121,NA
18891,"HZ","86","86","643a","CDI","O","P","ct_9",1274,"tr_4"
18893,"IZ","13","13","486e","CDI","O","C","ct_9",1978,"tr_3"
18895,"CL","36","36","652a","CDI","O","C","ct_9",1846,"tr_5"
18900,"GZ","83","04","526b","CDI","O","P","ct_9",600,"tr_1"
18910,"PZ","44","44","525a","CDI","O","P","ct_8",489,"tr_1"
18915,"AZ","76","76","461c","CDI","O","C","ct_6",1629,"tr_1"
18919,"FZ",NA,NA,"634b","CDI","O","C","ct_9",1040,"tr_1"
18923,"FZ","05","13","632a","CDI","O","C","ct_9",1589,"tr_3"
18925,"TZ","41","41","563c","CDI","O","C",NA,134,NA
18928,"FZ","78","93","481a","CDI","O","P","ct_9",1146,"tr_2"
18933,"NZ","77","77","632a","CDI","O","C",NA,176,"tr_3"
18948,"MC","69","69","634d","CDI","O","C","ct_9",1838,"tr_5"
18953,"CA","47","33","554a","CDI","O","P","ct_6",556,"tr_1"
18963,"QB","43","43","563b","CDI","O","P","ct_8",1213,"tr_3"
18968,"HZ","33","33","521a","CDI","O","C","ct_9",1828,"tr_6"
18972,"GZ","59","59","552a","CDI","O","P","ct_9",1123,"tr_5"
18973,"OZ","62","59","525b","AUT","O","C","ct_2",1820,"tr_6"
18976,"QB","92","95","542a","CDI","O","C","ct_9",607,"tr_3"
18981,"HZ","84","84","641b","CDI","O","C","ct_9",1614,"tr_4"
18984,"IZ","78","75","561f","CDI","O","C","ct_9",762,"tr_3"
18987,"MB","30","30","451e","CDI","O","C","ct_1",1814,"tr_6"
18989,"FZ","87","87","632d","CDI","O","C","ct_9",1665,"tr_5"
18992,"QA","67","67","526a","CDI","O","C","ct_8",1733,"tr_6"
18999,"LZ","93","93","684a","AUT","O","C","ct_5",1810,"tr_6"
19000,"QB","33","33","563a","CDI","O","N","ct_7",3000,"tr_0"
19004,"KZ","59","59","372c","CDI","O","C","ct_8",1820,"tr_6"
19030,"QA","61","61","526e","CDI","O","P","ct_9",901,"tr_3"
19046,"QA","30","30","526a","AUT","O","C","ct_3",1820,"tr_5"
19049,"CA","73","73","380a","CDI","O","C","ct_9",272,"tr_3"
19055,"JA","77","75","637c","CDI","O","C","ct_9",1820,"tr_6"
19056,"QA","61","61","526e","CDI","O","P","ct_9",901,"tr_3"
19062,"OZ","75","75","332b","CDI","O","C","ct_2",1819,"tr_6"
19068,"QA",NA,NA,"525d","CDI","O","C","ct_9",2052,"tr_4"
19069,"MA","26","26","461e","CDI","O","C","ct_9",791,"tr_1"
19074,"QB","91","75","434g","CDI","O","C","ct_8",1032,"tr_4"
19077,"NZ","38","38","684a","CDD","O","C","ct_8",756,"tr_1"
19078,"RZ","94","77","468a","CDI","O","P","ct_9",1262,"tr_6"
19081,"GZ","02","60","632a","CDI","O","C","ct_9",1903,"tr_3"
19082,"QB",NA,NA,"434a","CDI","O","C","ct_8",1852,"tr_4"
19100,"SZ","28","28","637b","CDI","O","P","ct_6",272,"tr_1"
19104,"GZ","44","44","551a","CDI","O","P","ct_9",1574,"tr_6"
19144,"JB","91","91","542a","CDI","O","N","ct_9",1560,"tr_6"
19145,"OZ","09","09","335a","CDI","O","P",NA,104,NA
19151,"QB","63","63","542a","CDI","O","P","ct_8",744,"tr_2"
19175,"FZ","95","95","632a","CDI","O","C","ct_9",552,"tr_1"
19176,"GZ","84","84","676c","TOA","O","C","ct_9",1397,"tr_2"
19181,"KZ","78","75","467a","CDI","O","C","ct_9",1974,"tr_1"
19203,"GZ","40","40","676a","TOA","O","C","ct_9",435,"tr_3"
19215,"HZ","92","92","655a","CDI","O","C","ct_9",2028,"tr_1"
19221,"QA","31","31","526c","CDI","O","C","ct_8",438,"tr_6"
19225,"CL","42","42","474b","CDI","O","C","ct_9",1367,"tr_6"
19231,"OZ",NA,NA,"525b","AUT","O","C","ct_2",1820,"tr_6"
19256,"FZ","59","59","621a","CDI","O","C","ct_9",1780,"tr_3"
19263,"NZ","24","24","684a","CDI","O","C","ct_8",1239,"tr_1"
19276,"QA","56","56","451h","CDI","O","C","ct_3",452,"tr_6"
19289,"NZ","29","29","462e","CDI","O","P","ct_9",1585,"tr_1"
19294,"QB","71","39","526a","AUT","O","C","ct_2",1931,"tr_4"
19314,"OZ","94","75","523b","AUT","O","C","ct_1",1459,"tr_6"
19337,"CA","2A","2A","643a","CDI","O","C","ct_9",1307,"tr_1"
19338,"SZ","01","01","641a","CDI","O","C","ct_9",1821,"tr_5"
19363,"HZ","54","54","466c","CDI","O","C","ct_9",1661,"tr_2"
19366,"CL","54","54","634a","CDI","O","C","ct_9",1477,"tr_6"
19376,"MA","78","75","543b","CDI","O","C","ct_9",1535,"tr_1"
19377,"NZ","60","60","676a","TTP","O","C","ct_9",1137,"tr_3"
19380,"HZ","86","86","653a","CDI","O","C","ct_9",1834,"tr_5"
19396,"NZ","41","41","691e","CDI","O","C","ct_6",1792,"tr_1"
19398,"QB","88","88","676e","AUT","O","C","ct_8",1805,"tr_5"
19407,"CA","56","56","674b","CDI","O","C","ct_9",1214,"tr_6"
19409,"MA","21","21","543b","CDI","O","P","ct_9",1128,"tr_1"
19430,"NZ","93","77","534a","CDI","O","P","ct_9",477,"tr_6"
19437,"CG","85","44","674a","CDI","O","C","ct_9",1623,"tr_5"
19438,"JA","75","75","352a","CDI","O","C","ct_9",3000,"tr_1"
19439,"FZ","66","66","542a","CDI","O","C","ct_9",1956,"tr_1"
19444,"MA","29","29","472a","CDI","O","C","ct_9",1820,"tr_1"
19448,"OZ","11","11","461e","CDI","O","P","ct_1",555,"tr_3"
19451,"PZ","60","77","341a","CDI","O","C","ct_8",1820,"tr_3"
19456,"GZ","42","42","676a","CDI","O","C","ct_9",1566,"tr_1"
19461,"QA","88","88","523d","CDI","O","C","ct_3",1820,"tr_6"
19477,"HZ","92","92","642b","CDI","O","C","ct_9",1820,"tr_5"
19478,"OZ",NA,NA,"524c","CDI","O","C","ct_2",1820,"tr_6"
19479,"SZ","30","30","543b","CDI","O","P","ct_8",780,"tr_1"
19480,"GZ","81","13","463c","CDI","O","C","ct_9",3000,"tr_3"
19483,"GZ","12","12","552a","CDI","O","C","ct_9",1624,"tr_5"
19493,"OZ","09","09","335a","CDI","O","P",NA,104,NA
19499,"QA","22","22","542a","CDI","O","P","ct_6",685,"tr_0"
19502,"TZ","31","31","563c","CDI","O","N","ct_7",820,"tr_0"
19509,"MA","66","66","461d","CDI","O","P","ct_9",692,"tr_1"
19525,"TZ","59","59","563c","AUT","O","P",NA,326,NA
19529,"MC","93","59","526b","CDI","O","P","ct_9",612,"tr_2"
19530,"QB","44","44","525d","CDI","O","P","ct_8",1434,"tr_4"
19533,"GZ","39","21","643a","CDI","O","P","ct_9",1532,"tr_5"
19542,"OZ","57","57","451g","CDI","O","C",NA,288,NA
19579,"FZ","30","30","621a","CDI","O","C","ct_9",152,"tr_4"
19580,"IZ","86","86","636d","CDI","O","C","ct_9",1405,"tr_3"
19581,"IZ","38","2B","561f","TOA","O","C","ct_9",627,"tr_1"
19589,"GZ",NA,NA,"551a","CDI","O","C","ct_9",1820,"tr_3"
19601,"QB","38","38","676c","AUT","X","P","ct_8",418,"tr_6"
19604,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1820,"tr_6"
19609,"GZ","44","44","477c","CDI","O","C","ct_9",1860,"tr_3"
19614,"QB","89","89","525d","CDI","O","P","ct_9",1711,"tr_3"
19615,"CH","01","01","474c","CDI","O","C","ct_9",1014,"tr_2"
19617,"GZ","29","29","676d","CDI","O","C","ct_8",1447,"tr_2"
19622,"FZ","42","42","632a","AUT","O","C",NA,152,NA
19638,"LZ","94","75","542a","CDI","O","C","ct_9",1820,"tr_6"
19641,"QB","01","01","563a","CDI","O","N","ct_7",1911,"tr_1"
19661,"SZ","44","44","564b","CDI","O","P",NA,328,NA
19662,"CG","82","82","674d","CDI","O","C","ct_9",1642,"tr_5"
19668,"NZ","91","75","632a","TTP","O","C","ct_9",1533,"tr_1"
19690,"CA","85","85","625a","CDI","O","C","ct_9",1578,"tr_6"
19691,"FZ","74","74","632c","TOA","O","C","ct_6",1300,"tr_1"
19696,"MA","25","25","684a","AUT","O","P",NA,164,NA
19721,"QB","59","59","526a","CDI","O","C","ct_9",1690,"tr_4"
19733,"HZ","30","30","641b","CDI","O","P","ct_9",945,"tr_3"
19744,"QA","64","64","525d","CDI","O","C","ct_9",1820,"tr_6"
19747,"HZ","69","38","641a","CDI","O","C","ct_9",2192,"tr_3"
19755,"NZ","03","03","541b","CDI","O","C","ct_9",1809,"tr_1"
19756,"PZ","37","37","684a","CDI","O","C","ct_8",1280,"tr_4"
19767,"MA","36","44","543b","CDI","O","C","ct_8",1831,"tr_3"
19778,"GZ","63","63","486d","CDI","O","C","ct_9",1692,"tr_5"
19784,"RZ","29","29","424a","CDI","O","P","ct_8",1473,"tr_1"
19802,"KZ","59","59","462e","CDI","O","C","ct_9",607,"tr_4"
19820,"TZ","76","76","563c","CDI","O","C",NA,319,NA
19825,"QB","24","24","526a","CDI","O","C","ct_8",948,"tr_3"
19826,"GZ","27","27","554e","CDI","O","C","ct_9",473,"tr_1"
19828,"NZ","31","31","684a","CDI","O","P","ct_9",2163,"tr_6"
19830,"CB","06","62","554b","CDI","O","C","ct_9",351,"tr_0"
19840,"NZ","34","69","684a","CDI","O","P","ct_9",516,"tr_6"
19843,"OZ",NA,NA,"451g","CDI","O","C","ct_2",1820,"tr_6"
19849,"QB","51","51","563b","CDI","O","P","ct_9",1144,"tr_0"
19859,"SZ","33","33","542a","CDI","O","P","ct_8",573,"tr_1"
19887,"HZ","91","91","676d","CDI","O","C","ct_9",907,"tr_6"
19890,"HZ","35","35","641b","CDI","O","C","ct_9",840,"tr_6"
19904,"MC","06","06","526b","CDI","O","C","ct_9",1465,"tr_1"
19909,"AZ","49","49","691d","CDI","O","C",NA,210,NA
19915,"QA","94","75","526a","CDI","O","C","ct_9",2106,"tr_4"
19916,"PZ","78","78","422e","CDI","O","P","ct_8",1468,"tr_6"
19918,"MC","83","83","643a","CDI","O","C",NA,244,NA
19923,"FZ","16","16","543b","CDI","O","P","ct_9",1308,"tr_1"
19924,"OZ","91","94","451e","CDI","O","P","ct_8",1196,"tr_3"
19933,"OZ","88","88","344b","CDI","O","C","ct_4",1820,"tr_3"
19939,"QB","71","71","684b","AUT","X","P","ct_8",541,"tr_3"
19948,"CA","12","12","641a","CDI","O","C","ct_9",1517,"tr_4"
19956,"IZ","31","31","561c","CDI","O","P","ct_9",712,"tr_1"
19960,"QB","68","68","563b","CDI","O","P","ct_8",676,"tr_4"
19973,"PZ","26","07","341a","CDI","O","C","ct_8",1761,"tr_4"
19974,"GZ","06","06","554e","CDI","O","P","ct_9",804,"tr_1"
19981,"QB","65","65","525d","CDI","O","C","ct_8",1820,"tr_3"
19992,"PZ","69","69","422c","CDI","O","C","ct_1",1820,"tr_4"
20013,"CH","95","95","673a","CDI","O","C","ct_9",437,"tr_2"
20020,"MA","60","60","628a","CDI","O","C","ct_9",2028,"tr_3"
20038,"HZ","91","91","478c","CDI","O","C","ct_9",983,"tr_6"
20043,"HZ","60","60","451a","CDI","O","C","ct_9",1835,"tr_4"
20044,"CH","54","54","542a","CDI","O","C","ct_9",249,"tr_1"
20045,"QB","37","41","563b","CDD","O","P","ct_8",382,"tr_3"
20048,"QB","94","94","524c","CDI","O","C",NA,253,NA
20061,"NZ","75","93","374d","CDI","O","C","ct_9",1116,"tr_3"
20079,"NZ","13","75","534a","CDI","O","P","ct_9",1543,"tr_6"
20091,"GZ","95","93","462c","CDI","O","C","ct_9",1508,"tr_2"
20093,"MA","92","75","373c","CDI","O","C","ct_9",1820,"tr_3"
20098,"FZ","59","59","628b","CDI","O","C","ct_9",1820,"tr_5"
20104,"GZ","02","02","388c","CDI","O","C","ct_9",1846,"tr_6"
20105,"HZ","50","50","526e","CDI","O","P","ct_9",1532,"tr_2"
20106,"FZ","67","67","634b","CDI","O","C","ct_9",1756,"tr_3"
20117,"QA","81","81","431d","CDI","O","C","ct_9",1170,"tr_5"
20128,"NZ","78","75","651a","TTP","O","C","ct_9",1426,"tr_2"
20132,"QB","69","69","542a","CDI","O","C","ct_8",810,"tr_3"
20136,"QB","31","31","563b","CDI","O","P","ct_8",832,"tr_3"
20148,"KZ","29","29","684a","CDI","O","C",NA,208,NA
20161,"QA","50","14","541c","CDD","O","P","ct_6",807,"tr_1"
20173,"TZ","59","59","563c","CDI","O","P",NA,139,NA
20197,"RZ","93","75","333e","CDI","O","C","ct_1",1820,"tr_5"
20214,"QA","27","27","431f","CDI","O","C","ct_8",1820,"tr_4"
20224,"CA","40","40","676c","CDI","O","C","ct_9",1795,"tr_6"
20226,"OZ","79","79","523c","AUT","O","C","ct_2",1901,"tr_6"
20229,"GZ","13","13","554a","CDI","O","C","ct_9",918,"tr_6"
20233,"IZ","67","67","636d","CDI","O","C","ct_9",1761,"tr_1"
20241,"PZ","62","62","525a","AUT","X","P","ct_8",1024,"tr_2"
20250,"HZ","13","13","653a","CDI","O","C","ct_9",441,"tr_6"
20259,"QA","02","02","431f","CDI","O","C","ct_8",506,"tr_6"
20267,"JC","94","94","373c","CDI","O","C","ct_9",1820,"tr_4"
20305,"QA","47","47","433a","CDI","O","P","ct_9",1677,"tr_3"
20313,"CG","21","21","628g","CDI","O","C","ct_9",465,"tr_6"
20329,"RZ","66","66","354b","CDI","O","C",NA,168,NA
20341,"CB","75","75","627b","CDI","O","C","ct_9",1025,"tr_2"
20351,"FZ","84","84","481b","CDI","O","C","ct_9",1756,"tr_3"
20368,"NZ","95","78","684a","CDI","O","P","ct_9",1817,"tr_5"
20374,"QA","94","94","526a","CDI","O","C","ct_9",1904,"tr_5"
20378,"OZ","60","77","621a","AUT","O","C","ct_1",1820,"tr_3"
20387,"TZ",NA,NA,"563c","CDI","O","N","ct_7",729,"tr_1"
20394,"GZ","31","31","653a","CDI","O","C","ct_9",1393,"tr_4"
20396,"KZ","15","15","545c","CDI","O","P","ct_6",1248,"tr_1"
20401,"QA","12","12","526b","CDI","O","P","ct_8",1499,"tr_1"
20409,"NZ","79","79","631a","AUT","X","C","ct_9",1571,"tr_3"
20410,"NZ","35","35","344a","CDI","O","C","ct_9",1442,"tr_3"
20413,"NZ","56","56","466a","CDI","O","C","ct_9",818,"tr_1"
20416,"QB","44","44","541c","CDI","O","P","ct_9",1324,"tr_4"
20421,"QA","44","85","344b","CDI","O","C","ct_8",1820,"tr_2"
20437,"QA","91","91","525d","CDI","O","C","ct_3",1820,"tr_6"
20438,"QB","78","92","526d","CDI","O","C","ct_8",1719,"tr_2"
20444,"HZ","72","72","641a","CDI","O","C","ct_9",2150,"tr_2"
20449,"HZ","06","06","642b","CDI","O","N",NA,210,NA
20453,"LZ","92","75","373b","CDI","O","C","ct_5",1767,"tr_6"
20459,"QB","77","93","526d","CDI","O","C","ct_8",2814,"tr_4"
20479,"OZ","92","75","451e","CDI","O","C","ct_1",1820,"tr_4"
20481,"CI","21","39","474a","CDI","O","P","ct_9",366,"tr_6"
20486,"QA","03","03","526a","CDI","O","C","ct_9",1832,"tr_5"
20488,"QB","78","92","526d","CDI","O","C","ct_8",1166,"tr_4"
20495,"IZ","92","75","554h","CDI","O","C","ct_9",1015,"tr_1"
20498,"CH","38","38","674d","CDI","O","C","ct_9",1147,"tr_6"
20502,"QB","95","95","563b","CDI","O","C",NA,526,NA
20515,"NZ","59","59","684a","CDI","O","P","ct_9",875,"tr_5"
20534,"NZ","60","75","534a","CDI","O","C","ct_9",1907,"tr_2"
20535,"HZ","15","19","641b","CDI","O","P","ct_9",483,"tr_2"
20537,"HZ","73","73","641b","CDI","O","C","ct_9",834,"tr_4"
20544,"GZ","54","54","551a","CDI","O","C","ct_9",1913,"tr_6"
20552,"QB","95","95","526d","CDI","O","C","ct_8",1758,"tr_1"
20562,"CB","94","75","627b","CDI","O","C","ct_9",379,"tr_1"
20565,"CL","01","01","624c","CDI","O","C","ct_9",1923,"tr_6"
20575,"HZ","94","93","676d","CDI","O","C","ct_9",1617,"tr_6"
20583,"MA","31","31","374d","CDI","O","C","ct_9",1561,"tr_6"
20584,"TZ","33","33","563c","CDI","O","C",NA,468,NA
20591,"QA","33","33","525d","CDI","O","P","ct_8",770,"tr_6"
20596,"QB","65","65","526d","CDI","O","P","ct_8",938,"tr_5"
20613,"QA","33","33","523d","CDI","O","P","ct_3",758,"tr_6"
20618,"MB","34","34","461c","CDI","O","C","ct_9",2005,"tr_6"
20629,"HZ",NA,NA,"451a","CDI","O","C","ct_9",1821,"tr_5"
20631,"CM","38","69","623b","CDI","O","C","ct_9",1785,"tr_6"
20635,"PZ","59","59","341a","CDI","O","P","ct_8",1686,"tr_4"
20637,"IZ","21","21","561c","CDI","O","P","ct_6",626,"tr_1"
20638,"CJ","44","33","374d","CDI","O","C","ct_9",1539,"tr_5"
20671,"FZ","04","13","463e","CDI","O","N","ct_9",1715,"tr_5"
20673,"GZ","62","59","653a","CDI","O","C","ct_9",1729,"tr_3"
20687,"QA","71","71","542a","CDI","O","C","ct_9",1820,"tr_2"
20709,"QB","69","69","525d","CDI","O","C","ct_8",1219,"tr_4"
20710,"QB","29","29","563b","AUT","X","P","ct_9",1778,"tr_2"
20717,"PZ","75","75","422c","CDI","O","C","ct_8",1850,"tr_5"
20730,"PZ","76","76","543g","CDI","O","C","ct_8",1806,"tr_4"
20734,"QB","60","60","525d","CDI","O","C","ct_8",1820,"tr_3"
20761,"NZ","59","62","684a","CDI","O","P","ct_9",1498,"tr_4"
20762,"CA","57","57","652a","CDI","O","C","ct_9",615,"tr_6"
20782,"MB","91","91","342g","CDI","O","C","ct_5",2214,"tr_6"
20795,"GZ","83","83","552a","CDI","O","C","ct_9",1652,"tr_4"
20798,"QA","11","11","526a","CDI","O","P","ct_8",530,"tr_4"
20801,"HZ","13","13","676c","CDI","O","C","ct_9",2031,"tr_6"
20813,"CA","30","30","475b","CDI","O","C","ct_9",1820,"tr_6"
20831,"NZ","57","57","681a","TTP","O","C","ct_9",346,"tr_0"
20835,"GZ","57","57","554a","CDI","O","C","ct_9",985,"tr_1"
20837,"CJ","85","85","674a","CDI","O","C","ct_9",1633,"tr_4"
20840,"NZ","60","60","684a","CDI","O","P","ct_9",1010,"tr_4"
20842,"NZ","91","91","541d","CDI","O","C","ct_9",1024,"tr_1"
20860,"QA","11","11","526e","CDI","O","C","ct_9",1818,"tr_3"
20861,"GZ","13","13","542a","CDI","O","C","ct_9",1463,"tr_2"
20864,"OZ","38","38","335a","CDI","O","C",NA,191,NA
20865,"MA","91","93","543b","CDI","O","C","ct_9",1820,"tr_1"
20878,"MA","50","14","486c","CDI","O","C","ct_9",1680,"tr_3"
20881,"SZ","75","75","542a","CDI","O","P","ct_8",957,"tr_1"
20886,"GZ","44","44","487a","CDI","O","C","ct_9",2056,"tr_1"
20909,"QB","22","22","563b","AUT","O","P","ct_2",799,"tr_4"
20910,"QA","17","17","525d","CDI","O","C","ct_3",1820,"tr_6"
20916,"RZ","17","17","435b","CDI","O","C","ct_8",1503,"tr_1"
20933,"IZ","86","06","561d","TOA","O","P","ct_9",208,"tr_0"
20935,"QA","09","09","526e","CDI","O","C","ct_9",2200,"tr_1"
20940,"DZ","80","80","485a","CDI","O","C",NA,152,NA
20947,"OZ",NA,NA,"524b","CDI","O","C",NA,216,NA
20949,"JA","44","75","352a","CDI","O","C",NA,217,NA
20967,"TZ","80","80","563c","CDI","O","C",NA,274,NA
20969,"CM","26","26","486b","CDI","O","C","ct_9",977,"tr_6"
20971,"HZ","59","59","476a","CDI","O","C","ct_9",1668,"tr_6"
20976,"RZ","29","29","465b","CDI","O","P","ct_8",1398,"tr_1"
20981,"HZ","35","35","676a","CDI","O","P","ct_9",1048,"tr_5"
20984,"GZ","44","44","554e","CDI","O","P","ct_9",1137,"tr_1"
20996,"QB","76","76","525d","CDI","O","C","ct_9",1767,"tr_4"
20997,"CM","02","02","676c","CDI","O","C","ct_9",1006,"tr_4"
21000,"GZ","86","86","433d","CDI","O","C","ct_9",1299,"tr_1"
21006,"QA","33","33","523d","CDI","O","P","ct_3",910,"tr_6"
21031,"CE","26","07","674a","CDI","O","C","ct_9",1641,"tr_5"
21033,"QB","14","14","563a","CDI","O","N","ct_7",2816,"tr_0"
21041,"GZ","64","65","653a","CDI","O","C","ct_9",1776,"tr_2"
21045,"SZ",NA,NA,"435b","TOA","O","P","ct_8",549,"tr_3"
21052,"HZ","68","68","451g","CDI","O","C","ct_4",1860,"tr_6"
21062,"QB","71","71","563b","CDI","O","N","ct_7",1238,"tr_1"
21076,"GZ","10","10","653a","CDI","O","C","ct_9",660,"tr_4"
21078,"QB","17","17","434a","CDI","O","P","ct_8",1235,"tr_3"
21088,"IZ","49","49","561c","CDI","O","C","ct_9",1645,"tr_1"
21103,"HZ","69","69","546c","CDI","O","C","ct_9",1778,"tr_5"
21108,"NZ","72","72","563c","CDI","O","C",NA,377,"tr_6"
21113,"PZ","28","28","422b","AUT","O","P","ct_1",1747,"tr_4"
21121,"GZ","19","24","463b","CDI","O","C","ct_9",1368,"tr_1"
21122,"MA","77","77","382a","CDI","O","C","ct_9",1925,"tr_1"
21131,"FZ","75","92","382c","CDI","O","C","ct_9",1254,"tr_3"
21137,"QB","59","59","525d","CDI","O","P","ct_8",425,"tr_3"
21146,"PZ","14","14","525b","CDI","O","C","ct_8",1820,"tr_5"
21153,"CL","01","01","673c","CDI","O","C","ct_9",1263,"tr_5"
21162,"NZ","05","13","684a","CDI","O","C","ct_9",1929,"tr_6"
21192,"GZ","69","69","643a","CDI","O","C","ct_9",1274,"tr_1"
